Date,polarity
2017-11-03,0.031912513449839995
2017-11-04,0.12143667658773376
2017-11-05,0.08447669342162321
2017-11-06,0.04352623128826757
2017-11-07,0.02484634807098328
2017-11-08,0.03254881604704866
2017-11-09,0.0449253017701764
2017-11-10,0.041309386550436714
2017-11-11,0.0884936808868569
2017-11-12,0.11061984579544633
2017-11-13,0.042512083358323204
2017-11-14,0.012331420164227721
2017-11-15,0.04497977243141171
2017-11-16,0.05124196133002266
2017-11-17,0.043184963305466666
2017-11-18,0.04502628002074459
2017-11-19,-0.05562185596039762
2017-11-20,0.043035341360559705
2017-11-21,0.02747547482628576
2017-11-22,0.04612000127075287
2017-11-23,0.05777743060162567
2017-11-24,0.04453406107135722
2017-11-25,-0.005902777777777779
2017-11-26,0.0
2017-11-27,0.027648725527621924
